FLU GAS TEMP,STEAM PRESSURE,TURBINE SPEED,GENERATOR VOLTAGE,AIR QUALITY,HEALTHINESS,ERROR TYPE
598,2950,2896,16770,359,0,2
349,2303,3620,18296,194,0,1
799,2080,2980,16691,134,0,1
515,2485,3553,17586,213,1,0
529,2090,3024,17354,116,1,0
559,2896,3500,18989,220,1,0
727,2916,3009,19367,301,0,1
682,2715,3475,17273,316,1,0
730,2738,3273,17927,382,0,1
700,1916,3225,19642,137,0,2
430,2978,3581,19731,402,0,0
405,2491,2937,19396,126,0,2
709,2789,3098,17619,355,0,1
311,3074,3308,18189,253,0,1
335,2975,3482,17739,203,0,1
486,2544,3327,17667,231,1,0
594,2379,2861,16622,239,0,2
348,2460,3631,19388,396,0,1
620,2561,2914,18453,272,0,2
554,2372,3366,19210,320,1,0
600,2500,3010,18000,13,1,0
601,2501,3011,18001,14,1,0
602,2502,3012,18002,15,1,0
603,2503,3013,18003,16,1,0
604,2504,3014,18004,17,1,0
605,2505,3015,18005,18,1,0
606,2506,3016,18006,19,1,0
607,2507,3017,18007,20,1,0
701,2212,3355,16665,262,0,1
774,2453,3318,18559,367,0,1
382,3068,2945,17197,450,0,1
454,2359,3073,17105,230,1,0
759,2566,3569,17197,422,0,1
725,2940,2860,19521,334,0,1
620,2911,3500,16704,70,0,3
587,2105,3479,19312,397,1,0
503,2619,2873,18008,84,0,2
399,3057,3226,16635,278,0,1
567,2956,3161,17796,325,1,0
572,2288,3554,17676,293,1,0
385,2688,3210,17425,259,0,1
626,2753,3275,18159,57,1,0
660,2697,3128,16958,96,0,3
483,2332,3676,19232,188,0,2
630,2925,2918,19128,79,0,2
538,2980,2993,19149,193,0,2
605,2005,2897,16625,112,0,2
551,2361,3043,18302,241,1,0
550,2530,3446,19899,368,1,0
425,3095,3431,19455,325,0,2
624,2388,3323,19911,289,1,0
572,2210,3652,16980,340,0,2
723,2018,3468,18434,276,0,1
493,2507,3547,18166,264,1,0
793,2893,3181,16690,110,0,1
496,2432,3555,19838,310,1,0
435,2700,3697,18396,198,0,2
429,2202,3337,19664,186,1,0
780,2473,3143,19360,416,0,1
706,2559,3138,18867,414,0,1
642,3041,3047,18340,378,0,2
587,2603,3527,18146,225,1,0
370,2072,2933,16959,129,0,1
653,2178,2979,18054,142,0,2
763,2588,3264,17038,383,0,1
504,2767,3010,19577,367,1,0
367,2140,3331,16995,263,0,1
441,2809,2878,18505,393,0,2
331,2382,3625,18621,399,0,1
414,2374,2854,17299,145,0,2
479,2478,2924,17140,211,0,2
392,2199,3602,18953,66,0,1
500,2251,3407,16971,97,0,3
760,2344,3152,19853,332,0,1
580,2947,3213,19557,195,1,0
738,2641,3636,18506,362,0,1
736,2811,3673,17074,331,0,1
396,2570,3223,16593,59,0,1
622,2399,3102,19244,237,1,0
492,2157,2930,19359,372,0,2
402,2665,2962,19180,332,0,2
391,2692,2929,19907,363,0,1
330,2611,3433,18377,231,0,1
755,2321,3079,17915,58,0,1
800,2668,3194,18074,216,0,1
726,2108,3541,16853,173,0,1
446,2585,3007,16681,414,0,3
323,2476,3434,19428,143,0,1
625,3053,3494,17588,405,0,2
746,2290,3235,16530,46,0,1
403,2692,2872,16599,161,0,2
483,2632,3038,17815,318,1,0
608,2424,3435,16765,178,0,3
777,2838,3059,18141,107,0,1
344,2669,2860,19349,119,0,1
494,2991,3321,16966,245,0,3
785,2515,3154,19098,73,0,1
767,1955,2925,19908,176,0,1
560,2973,3343,18971,324,1,0
583,2686,3056,19420,226,1,0
348,2298,2910,19916,33,0,1
621,2952,3492,19695,397,1,0
458,2806,3436,18173,74,1,0
478,2438,2984,18251,364,0,2
348,2199,2879,19671,351,0,1
792,2925,3655,17417,173,0,1
578,2179,3621,19054,72,0,2
354,2831,3441,16854,214,0,1
682,2395,3415,19678,219,1,0
754,2472,3162,19931,422,0,1
504,2052,3079,17805,118,1,0
697,2064,2890,19060,397,0,2
632,2148,3571,18794,164,1,0
781,2194,3074,17282,113,0,1
698,2964,3383,17136,238,1,0
518,2656,3541,17182,383,1,0
777,2762,2912,18620,136,0,1
450,2185,3359,18986,384,1,0
619,2944,3038,19217,430,0,0
497,2494,3596,16876,235,0,3
686,2867,3230,17616,217,1,0
557,3067,3028,18630,124,0,2
305,2841,3620,17456,197,0,1
721,2109,3329,19027,40,0,1
582,2021,3004,19139,280,1,0
306,2480,3230,17141,253,0,1
561,2622,3099,19260,350,1,0
656,2737,3433,17590,347,1,0
596,2520,3234,18306,323,1,0
414,1948,3186,18676,182,0,2
755,2077,2904,16950,372,0,1
351,2732,2866,18321,365,0,1
460,2580,2854,18553,266,0,2
525,2162,3671,17122,381,0,2
705,2672,3668,19510,397,0,1
747,2213,3660,17864,65,0,1
745,2306,3216,18133,442,0,1
363,2310,3194,19156,131,0,1
635,2554,3568,16654,345,0,3
427,2577,3376,18914,85,1,0
440,2387,2993,19835,148,0,2
345,1939,3541,18399,74,0,1
678,2151,3123,17102,273,1,0
494,3015,3586,17923,93,0,2
356,2671,2977,19748,357,0,1
449,2231,3535,18037,315,1,0
691,2043,3203,17803,382,1,0
347,2532,3181,18938,294,0,1
365,3036,3035,17293,141,0,1
463,2089,3124,16597,239,0,3
541,1975,3521,19300,103,0,2
314,2296,3390,18085,230,0,1
458,2785,2892,19492,252,0,2
311,2742,3537,16622,234,0,1
416,2402,3147,19640,160,1,0
598,2339,3088,18801,444,0,0
331,2348,3082,19844,271,0,1
429,2322,2914,18051,429,0,2
795,3078,3361,19393,98,0,1
705,2630,3252,16665,152,0,1
415,2603,3505,18321,171,1,0
756,2243,3004,19979,295,0,1
334,2598,3441,18443,365,0,1
753,2740,3184,16850,65,0,1
383,2480,2929,18253,180,0,1
528,2042,3167,18546,37,1,0
498,2738,3221,18026,243,1,0
586,1970,3412,16583,213,0,2
544,2137,3188,16805,236,0,3
766,2017,3632,18366,168,0,1
734,2255,3327,18216,76,0,1
475,3042,2969,19574,397,0,2
532,3049,2919,16670,110,0,2
407,2362,3420,17561,153,1,0
563,2950,3500,18428,318,1,0
395,1939,3056,17115,105,0,1
533,2261,3650,18449,285,0,2
780,2071,3481,19414,129,0,1
394,2480,3077,19447,441,0,1
356,2171,3331,17091,97,0,1
644,2104,3445,18783,148,1,0
645,2745,3402,17763,270,1,0
357,2150,3101,17303,416,0,1
516,2403,3422,16871,117,0,3
380,2181,3353,16553,187,0,1
384,2516,3580,19996,344,0,1
738,2755,3678,17975,374,0,1
569,2252,3459,18517,239,1,0
503,2676,3069,17164,40,1,0
361,2796,3179,19771,220,0,1
468,2407,3425,18134,47,1,0
468,2218,3022,18061,56,1,0
381,2618,3086,18573,261,0,1
686,2587,3371,19164,130,1,0
689,2207,3335,19536,396,1,0
684,2384,2858,18222,354,0,2
791,2467,3591,19590,96,0,1
377,2421,2908,17514,270,0,1
744,2958,3030,16722,124,0,1
371,3069,3388,17473,293,0,1
783,2945,2911,17001,336,0,1
693,3019,2950,18981,180,0,2
784,1913,3130,17490,391,0,1
634,3077,2926,17638,229,0,2
401,2899,3174,17046,434,0,0
763,2187,2890,18360,124,0,1
580,3052,3000,17790,337,0,2
316,2198,3622,17921,180,0,1
336,2146,3623,19201,109,0,1
352,2493,3578,18863,277,0,1
644,2017,3257,17080,437,0,0
797,2474,3316,18330,297,0,1
714,2532,3084,19133,313,0,1
587,2269,3496,17019,102,1,0
